epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
109,160642,1.2129,0.88186,1.27883,0.75491,0.77282,0.78798,0.50057,1.21459,0.68202,1.28894,0.000189475,0.000189475,0.000189475
110,162117,1.21244,0.88064,1.27773,0.75497,0.77326,0.78799,0.50078,1.21413,0.68199,1.28851,0.000181557,0.000181557,0.000181557
111,163592,1.2116,0.8794,1.27388,0.75393,0.77421,0.78814,0.50138,1.21393,0.68142,1.288,0.00017378,0.00017378,0.00017378
112,165067,1.21023,0.8787,1.27529,0.7526,0.7768,0.78822,0.50137,1.21378,0.68111,1.28763,0.000166149,0.000166149,0.000166149
113,166542,1.20953,0.87489,1.27501,0.75057,0.77834,0.78806,0.5019,1.21361,0.68093,1.28755,0.000158667,0.000158667,0.000158667
114,168018,1.20737,0.87564,1.27537,0.74995,0.78083,0.78774,0.50167,1.21366,0.68085,1.28779,0.000151336,0.000151336,0.000151336
115,169492,1.20637,0.87118,1.27337,0.75281,0.77799,0.78757,0.50159,1.21351,0.68069,1.28764,0.000144161,0.000144161,0.000144161
116,170967,1.2059,0.86851,1.27356,0.75189,0.77863,0.78765,0.50178,1.21314,0.68036,1.28723,0.000137143,0.000137143,0.000137143
117,172440,1.2066,0.87098,1.27497,0.75152,0.77988,0.78759,0.50151,1.21285,0.67986,1.2871,0.000130287,0.000130287,0.000130287
118,173917,1.20509,0.86661,1.27226,0.7493,0.78228,0.78795,0.50192,1.2125,0.67969,1.28704,0.000123596,0.000123596,0.000123596
119,175392,1.20273,0.86554,1.2718,0.75067,0.78076,0.78815,0.50197,1.21222,0.67932,1.28706,0.000117072,0.000117072,0.000117072
120,176867,1.20086,0.86708,1.27047,0.7501,0.78123,0.78742,0.5019,1.21224,0.67915,1.28698,0.000110718,0.000110718,0.000110718
121,178341,1.20271,0.86458,1.26749,0.75277,0.77957,0.78718,0.50209,1.21203,0.67894,1.28675,0.000104537,0.000104537,0.000104537
122,179815,1.19515,0.85985,1.26601,0.75472,0.77893,0.78733,0.50197,1.21169,0.67876,1.2864,9.85311e-05,9.85311e-05,9.85311e-05
123,181290,1.19678,0.85947,1.26866,0.75612,0.7771,0.78736,0.50207,1.21146,0.67905,1.28615,9.2704e-05,9.2704e-05,9.2704e-05
124,182764,1.19722,0.85839,1.26743,0.75554,0.77826,0.78785,0.50257,1.2113,0.67886,1.28608,8.70577e-05,8.70577e-05,8.70577e-05
125,184239,1.1958,0.85861,1.26636,0.75689,0.77784,0.78779,0.50277,1.21117,0.67893,1.28593,8.15947e-05,8.15947e-05,8.15947e-05
126,185714,1.1943,0.85917,1.26579,0.75735,0.77706,0.78766,0.5028,1.21094,0.67904,1.28591,7.63174e-05,7.63174e-05,7.63174e-05
127,187186,1.19273,0.85618,1.26514,0.75827,0.77688,0.78769,0.50263,1.21079,0.67886,1.28569,7.12282e-05,7.12282e-05,7.12282e-05
128,188657,1.19835,0.8598,1.26639,0.75806,0.77712,0.78783,0.50296,1.21069,0.67886,1.28564,6.63292e-05,6.63292e-05,6.63292e-05
129,190128,1.19513,0.8556,1.26528,0.75843,0.77647,0.78809,0.503,1.21058,0.67887,1.28541,6.16227e-05,6.16227e-05,6.16227e-05
130,191598,1.19451,0.85612,1.26532,0.75912,0.77553,0.78824,0.50314,1.21041,0.6786,1.28528,5.71106e-05,5.71106e-05,5.71106e-05
131,193072,1.19428,0.85339,1.26528,0.75907,0.77558,0.78833,0.50338,1.21038,0.67848,1.28523,5.2795e-05,5.2795e-05,5.2795e-05
132,194547,1.1925,0.85304,1.26586,0.75977,0.77524,0.78818,0.50337,1.21022,0.67854,1.28515,4.86777e-05,4.86777e-05,4.86777e-05
133,196022,1.19017,0.85343,1.26366,0.7598,0.77492,0.78797,0.50348,1.20999,0.67869,1.28501,4.47606e-05,4.47606e-05,4.47606e-05
134,197497,1.19344,0.85329,1.26481,0.76004,0.77439,0.78788,0.50331,1.20989,0.67875,1.28504,4.10454e-05,4.10454e-05,4.10454e-05
